timestamp,price,signal,cluster
2025-10-01 20:15:00,117393.72,BUY,4
2025-10-02 03:45:00,118733.99,BUY,4
2025-10-02 22:45:00,120257.49,BUY,4
2025-10-03 20:15:00,122149.99,BUY,4
2025-10-04 09:00:00,122414.15,BUY,4
2025-10-05 08:30:00,124694.74,BUY,4
2025-10-05 20:45:00,122705.32,BUY,4
2025-10-06 22:30:00,124890.94,BUY,4
2025-10-07 16:30:00,121763.39,BUY,4
2025-10-08 01:00:00,121706.19,BUY,4
2025-10-08 06:00:00,121306.12,BUY,4
2025-10-08 21:45:00,123277.33,BUY,4
2025-10-09 16:15:00,121250.0,BUY,4
2025-10-10 03:30:00,121502.21,BUY,4
2025-10-10 17:15:00,118150.75,BUY,4
2025-10-11 16:45:00,111846.18,BUY,4
2025-10-12 10:00:00,111851.24,BUY,4
2025-10-13 05:45:00,114611.82,BUY,4
2025-10-13 11:15:00,113643.33,BUY,4
2025-10-13 17:15:00,114546.0,BUY,4
2025-10-15 01:45:00,112738.17,BUY,4
2025-10-15 12:15:00,111469.76,BUY,4
2025-10-15 23:00:00,110855.06,BUY,4
2025-10-16 07:00:00,111402.58,BUY,4
2025-10-16 15:45:00,108549.21,BUY,4
